RRN,SUBJECT_CODE,CAT3_MARK,CAT3_ATTENDANCE,SEM_TAKEN
130071601097,MAB1181,80,80,1
130071601097,ENB1181,90,90,1
130071601097,PHB1181,80,85,1
130071601097,CHB1181,70,80,1
130071601097,GEB1101,95,90,1
130071601097,SSB1181,85,75,1
130071601097,GEB1103,90,95,1
130071601097,MAB1282,95,90,2
130071601097,PHB1283,85,75,2
130071601097,SSB1182,90,95,2
130071601097,GEB1211,80,85,2
130071601097,EEB1281,85,95,2
130071601097,CSB1211,85,75,2
130071601097,ENB1282,0,100,2
130071601097,EEB1282,0,75,2
130071601097,PHB1284,0,100,2
130071601097,MAB2181,85,75,3
130071601097,SSB2181,85,95,3
130071601097,CSB2101,80,85,3
130071601097,CSB2103,85,75,3
130071601097,ENB2181,0,100,3
130071601097,CSB2105,0,75,3
130071601097,CSB2106,0,100,3
130071601097,CSB2107,0,90,3
130071601097,MAB2285,85,75,4
130071601097,LSB2181,86,95,4
130071601097,CSB2211,78,70,4
130071601097,CSB2212,80,85,4
130071601097,CSB2213,85,95,4
130071601097,CSB2214,85,75,4
130071601097,ENB2282,0,100,4
130071601097,CSB2215,0,75,4
130071601097,CSB2216,0,100,4
130071601097,CSB2217,0,75,4
130071601097,CSB2102,63,75,3
130071601097,CSB2104,86,95,3
130071601097,PHB1182,76,100,1
130071601097,CHB1182,90,100,1
130071601097,GEB1102,88,75,1
130071601095,CSB2101,70,80,3
130071603007,CSB2101,90,80,3
