RRN,SUBJECT_CODE,CAT1_MARK,CAT1_ATTENDANCE,SEM_TAKEN
130071601097,MAB1181,80,90,1
130071601097,ENB1181,80,76,1
130071601097,PHB1181,60,70,1
130071601097,CHB1181,60,75,1
130071601097,GEB1101,90,90,1
130071601097,SSB1181,70,80,1
130071601097,GEB1103,90,80,1
130071601097,MAB1282,90,90,2
130071601097,PHB1283,70,80,2
130071601097,SSB1182,90,80,2
130071601097,GEB1211,60,70,2
130071601097,EEB1281,83,70,2
130071601097,CSB1211,70,80,2
130071601097,ENB1282,0,100,2
130071601097,EEB1282,0,80,2
130071601097,PHB1284,0,100,2
130071601097,MAB2181,70,80,3
130071601097,SSB2181,83,70,3
130071601097,CSB2101,60,70,3
130071601097,CSB2103,70,80,3
130071601097,ENB2181,0,100,3
130071601097,CSB2105,0,80,3
130071601097,CSB2106,0,100,3
130071601097,CSB2107,0,90,3
130071601097,MAB2285,70,80,4
130071601097,LSB2181,74,82,4
130071601097,CSB2211,72,80,4
130071601097,CSB2212,60,70,4
130071601097,CSB2213,83,70,4
130071601097,CSB2214,70,80,4
130071601097,ENB2282,0,100,4
130071601097,CSB2215,0,80,4
130071601097,CSB2216,0,100,4
130071601097,CSB2217,0,80,4
130071601097,CSB2102,65,72,3
130071601097,CSB2104,65,80,3
130071601097,PHB1182,67,100,1
130071601097,CHB1182,78,100,1
130071601097,GEB1102,56,80,1
130071601095,CSB2101,98,92,3
130071603007,CSB2101,80,80,3
